join_key,smp_id,Lat_Site.x,Long_Site.x,Top_depth_cm.x,Bottom_depth_cm.x,scan_path_name,SOC,Bulk.Density_1_3.BAR,Bulk.Density_ovendry,Calcium_Carbonate_equivalent,Carbon_Total,CEC,Clay,Nitrogen_Total,pH,Phosphorus_Mehlich3,Phosphorus_Olsen,Potassium,Sand,Silt
101041XS03,101041,37.949604,-98.2828293,236,253,101041XS03.0,0.036,NA,NA,NA,6.3814430000000005E-2,12.6371237,18.705782,4.0517098000000001E-2,8.06,7.3842410000000003,NA,0.38705299999999998,51.1,30.2
101041XS04,101041,37.949604,-98.2828293,236,253,101041XS04.0,0.036,NA,NA,NA,6.3814430000000005E-2,12.6371237,18.705782,4.0517098000000001E-2,8.06,7.3842410000000003,NA,0.38705299999999998,51.1,30.2
101042XS01,101042,37.949604,-98.2828293,253,278,101042XS01.0,0.026,NA,NA,NA,4.6605170000000001E-2,12.6806451,19.013426,NA,8.21,12.968395900000001,NA,0.38337120000000002,45.1,35.9
101042XS02,101042,37.949604,-98.2828293,253,278,101042XS02.0,0.026,NA,NA,NA,4.6605170000000001E-2,12.6806451,19.013426,NA,8.21,12.968395900000001,NA,0.38337120000000002,45.1,35.9
101042XS03,101042,37.949604,-98.2828293,253,278,101042XS03.0,0.026,NA,NA,NA,4.6605170000000001E-2,12.6806451,19.013426,NA,8.21,12.968395900000001,NA,0.38337120000000002,45.1,35.9
101042XS04,101042,37.949604,-98.2828293,253,278,101042XS04.0,0.026,NA,NA,NA,4.6605170000000001E-2,12.6806451,19.013426,NA,8.21,12.968395900000001,NA,0.38337120000000002,45.1,35.9
101043XS01,101043,37.949604,-98.2828293,278,295,101043XS01.0,0.016,NA,NA,NA,3.6347030000000002E-2,8.8875095,13.3804067,2.1202433999999999E-2,8.34,16.608573400000001,NA,NA,68.5,18.1
101043XS02,101043,37.949604,-98.2828293,278,295,101043XS02.0,0.016,NA,NA,NA,3.6347030000000002E-2,8.8875095,13.3804067,2.1202433999999999E-2,8.34,16.608573400000001,NA,NA,68.5,18.1
101043XS03,101043,37.949604,-98.2828293,278,295,101043XS03.0,0.016,NA,NA,NA,3.6347030000000002E-2,8.8875095,13.3804067,2.1202433999999999E-2,8.34,16.608573400000001,NA,NA,68.5,18.1
101043XS04,101043,37.949604,-98.2828293,278,295,101043XS04.0,0.016,NA,NA,NA,3.6347030000000002E-2,8.8875095,13.3804067,2.1202433999999999E-2,8.34,16.608573400000001,NA,NA,68.5,18.1
101044XS01,101044,37.949604,-98.2828293,295,351,101044XS01.0,0.0148,NA,NA,NA,4.1234199999999999E-2,17.4344276,25.1573816,3.4616359999999999E-2,8.28,27.7032688,NA,0.53329499999999996,20.6,54.2
101044XS02,101044,37.949604,-98.2828293,295,351,101044XS02.0,0.0148,NA,NA,NA,4.1234199999999999E-2,17.4344276,25.1573816,3.4616359999999999E-2,8.28,27.7032688,NA,0.53329499999999996,20.6,54.2
101044XS03,101044,37.949604,-98.2828293,295,351,101044XS03.0,0.0148,NA,NA,NA,4.1234199999999999E-2,17.4344276,25.1573816,3.4616359999999999E-2,8.28,27.7032688,NA,0.53329499999999996,20.6,54.2
101044XS04,101044,37.949604,-98.2828293,295,351,101044XS04.0,0.0148,NA,NA,NA,4.1234199999999999E-2,17.4344276,25.1573816,3.4616359999999999E-2,8.28,27.7032688,NA,0.53329499999999996,20.6,54.2
101045XS01,101045,37.9477959,-98.2844391,0,11,101045XS01.0,1.4652,1.4024005100000001,1.5891014999999999,7.0419989999999997,2.30876547,13.459158,21.4903021,0.15202582100000001,7.93,38.604423400000002,NA,0.52276869999999998,52.9,25.6
101045XS02,101045,37.9477959,-98.2844391,0,11,101045XS02.0,1.4652,1.4024005100000001,1.5891014999999999,7.0419989999999997,2.30876547,13.459158,21.4903021,0.15202582100000001,7.93,38.604423400000002,NA,0.52276869999999998,52.9,25.6
101045XS03,101045,37.9477959,-98.2844391,0,11,101045XS03.0,1.4652,1.4024005100000001,1.5891014999999999,7.0419989999999997,2.30876547,13.459158,21.4903021,0.15202582100000001,7.93,38.604423400000002,NA,0.52276869999999998,52.9,25.6
101045XS04,101045,37.9477959,-98.2844391,0,11,101045XS04.0,1.4652,1.4024005100000001,1.5891014999999999,7.0419989999999997,2.30876547,13.459158,21.4903021,0.15202582100000001,7.93,38.604423400000002,NA,0.52276869999999998,52.9,25.6
101046XS01,101046,37.9477959,-98.2844391,11,35,101046XS01.0,0.5816,1.67814946,1.8276340900000001,10.070027,1.78902425,9.3059922,21.0270584,9.7931914999999994E-2,8.22,8.8542565999999994,NA,0.32530520000000002,54.6,24.4
101046XS02,101046,37.9477959,-98.2844391,11,35,101046XS02.0,0.5816,1.67814946,1.8276340900000001,10.070027,1.78902425,9.3059922,21.0270584,9.7931914999999994E-2,8.22,8.8542565999999994,NA,0.32530520000000002,54.6,24.4
101046XS03,101046,37.9477959,-98.2844391,11,35,101046XS03.0,0.5816,1.67814946,1.8276340900000001,10.070027,1.78902425,9.3059922,21.0270584,9.7931914999999994E-2,8.22,8.8542565999999994,NA,0.32530520000000002,54.6,24.4
101046XS04,101046,37.9477959,-98.2844391,11,35,101046XS04.0,0.5816,1.67814946,1.8276340900000001,10.070027,1.78902425,9.3059922,21.0270584,9.7931914999999994E-2,8.22,8.8542565999999994,NA,0.32530520000000002,54.6,24.4
101047XS01,101047,37.9477959,-98.2844391,35,55,101047XS01.0,0.3248,1.6202157800000001,1.6869134100000001,7.961138,1.2801313000000001,5.931796,13.7334953,2.0127850999999999E-2,8.28,1.9121458,NA,NA,64.9,21.4
101047XS02,101047,37.9477959,-98.2844391,35,55,101047XS02.0,0.3248,1.6202157800000001,1.6869134100000001,7.961138,1.2801313000000001,5.931796,13.7334953,2.0127850999999999E-2,8.28,1.9121458,NA,NA,64.9,21.4
101047XS03,101047,37.9477959,-98.2844391,35,55,101047XS03.0,0.3248,1.6202157800000001,1.6869134100000001,7.961138,1.2801313000000001,5.931796,13.7334953,2.0127850999999999E-2,8.28,1.9121458,NA,NA,64.9,21.4
101047XS04,101047,37.9477959,-98.2844391,35,55,101047XS04.0,0.3248,1.6202157800000001,1.6869134100000001,7.961138,1.2801313000000001,5.931796,13.7334953,2.0127850999999999E-2,8.28,1.9121458,NA,NA,64.9,21.4
101048XS01,101048,37.9477959,-98.2844391,55,69,101048XS01.0,0.1712,1.68087399,1.72643039,2.2361399999999998,0.44316177000000001,4.9501134,8.1568045,NA,8.39,11.9181375,NA,NA,75.3,16.5
101048XS02,101048,37.9477959,-98.2844391,55,69,101048XS02.0,0.1712,1.68087399,1.72643039,2.2361399999999998,0.44316177000000001,4.9501134,8.1568045,NA,8.39,11.9181375,NA,NA,75.3,16.5
101048XS03,101048,37.9477959,-98.2844391,55,69,101048XS03.0,0.1712,1.68087399,1.72643039,2.2361399999999998,0.44316177000000001,4.9501134,8.1568045,NA,8.39,11.9181375,NA,NA,75.3,16.5
101048XS04,101048,37.9477959,-98.2844391,55,69,101048XS04.0,0.1712,1.68087399,1.72643039,2.2361399999999998,0.44316177000000001,4.9501134,8.1568045,NA,8.39,11.9181375,NA,NA,75.3,16.5
101049XS01,101049,37.9477959,-98.2844391,69,83,101049XS01.0,0.11,1.6549835399999999,1.7711667200000001,1.5015259999999999,0.28505402000000002,7.1166654,11.2847449,3.9283063E-2,8.34,11.6942658,NA,NA,75.4,13.3
